Source,Target,weight
Robert Baratheon,Eddard Stark,55
Eddard Stark,Robert Baratheon,53
Daenerys Targaryen,Jorah Mormont,40
Petyr Baelish,Eddard Stark,39
Jorah Mormont,Daenerys Targaryen,37
Sam Tarly,Jon Snow,36
Eddard Stark,Petyr Baelish,34
Arya Stark,Eddard Stark,32
Jon Snow,Sam Tarly,31
Eddard Stark,Cersei Lannister,30
Eddard Stark,Arya Stark,30
Bronn,Tyrion Lannister,29
Tyrion Lannister,Shae,28
Varys,Petyr Baelish,28
Cersei Lannister,Robert Baratheon,28
Shae,Tyrion Lannister,26
Petyr Baelish,Varys,26
Cersei Lannister,Eddard Stark,25
Tyrion Lannister,Bronn,24
Eddard Stark,Varys,24
Robert Baratheon,Cersei Lannister,24
Eddard Stark,Grand Maester Pycelle,23
Grand Maester Pycelle,Eddard Stark,22
Varys,Eddard Stark,22
Bran Stark,Maester Luwin,20
Eddard Stark,Catelyn Stark,20
Maester Luwin,Bran Stark,20
Renly Baratheon,Loras Tyrell,20
Loras Tyrell,Renly Baratheon,20
Robb Stark,Catelyn Stark,20
Catelyn Stark,Eddard Stark,19
Sansa Stark,Septa Mordane,19
Theon Greyjoy,Ros,19
Catelyn Stark,Robb Stark,18
Septa Mordane,Sansa Stark,17
Ros,Theon Greyjoy,17
Viserys Targaryen,Jorah Mormont,17
Tywin Lannister,Tyrion Lannister,17
Tyrion Lannister,Tywin Lannister,16
Robb Stark,Theon Greyjoy,16
Jon Snow,Tyrion Lannister,15
Cersei Lannister,Jaime Lannister,15
Jorah Mormont,Viserys Targaryen,15
Tyrion Lannister,Jon Snow,15
Syrio Forel,Arya Stark,14
Arya Stark,Syrio Forel,14
Jon Snow,Jeor Mormont,14
Daenerys Targaryen,Viserys Targaryen,14
Theon Greyjoy,Robb Stark,14
Mirri Maz Duur,Daenerys Targaryen,14
Jeor Mormont,Jon Snow,14
Daenerys Targaryen,Mirri Maz Duur,14
Joffrey Lannister,Sansa Stark,13
Sansa Stark,Joffrey Lannister,13
Jory Cassel,Jaime Lannister,13
Arya Stark,Sansa Stark,12
Viserys Targaryen,Doreah,12
Sansa Stark,Arya Stark,12
Lysa Arryn,Tyrion Lannister,12
Doreah,Viserys Targaryen,12
Tyrion Lannister,Lysa Arryn,12
Jon Snow,Maester Aemon,12
Jaime Lannister,Eddard Stark,12
Eddard Stark,Jaime Lannister,11
Joffrey Lannister,Cersei Lannister,11
Viserys Targaryen,Daenerys Targaryen,11
Jaime Lannister,Cersei Lannister,11
Eddard Stark,Jory Cassel,11
Jory Cassel,Eddard Stark,11
Cersei Lannister,Joffrey Lannister,11
Eddard Stark,Lord Varys,11
Barristan Selmy,Eddard Stark,10
Jaime Lannister,Jory Cassel,10
Viserys,Illyrio,10
Doreah,Daenerys Targaryen,10
Daenerys Targaryen,Doreah,10
Walder Frey,Catelyn Stark,10
Osha,Theon Greyjoy,10
Catelyn Stark,Walder Frey,10
Maester Aemon,Jon Snow,10
Theon Greyjoy,Osha,10
Jaime Lannister,Tywin Lannister,9
Jaime Lannister,Catelyn Stark,9
Lord Varys,Eddard Stark,9
Catelyn Stark,Petyr Baelish,9
Sansa Stark,Cersei Lannister,9
Catelyn Stark,Jaime Lannister,9
Eddard Stark,Barristan Selmy,9
Tyrion Lannister,Catelyn Stark,9
