id,label,n_lines
A Voice,A Voice,1
Addam Marbrand,Addam Marbrand,2
All,All,2
Alliser Thorne,Alliser Thorne,13
Arya Stark,Arya Stark,102
Assassin,Assassin,1
Barristan Selmy,Barristan Selmy,22
Barriston,Barriston,1
Benjen,Benjen,12
Benjen Stark,Benjen Stark,13
Beric Dondarrion,Beric Dondarrion,1
Bran Stark,Bran Stark,62
Bronn,Bronn,33
Cassel,Cassel,3
Catelyn Stark,Catelyn Stark,138
Cersei Lannister,Cersei Lannister,117
Cohollo,Cohollo,1
Daenerys Targaryen,Daenerys Targaryen,126
Deanerys Targarian,Deanerys Targarian,1
Doreah,Doreah,27
Eddard Stark,Eddard Stark,335
Eddark Stark,Eddark Stark,2
Everyone,Everyone,1
Galbart Glover,Galbart Glover,1
Gared,Gared,4
Gendry Baratheon,Gendry Baratheon,9
Grand Maester Pycelle,Grand Maester Pycelle,44
Greatjon Umber,Greatjon Umber,13
Grenn,Grenn,24
Guard,Guard,7
Hot Pie,Hot Pie,6
Hugh Of Vale,Hugh Of Vale,3
Illyrio,Illyrio,13
Illyrio Mopatis,Illyrio Mopatis,4
Irri,Irri,17
Jaime Lannister,Jaime Lannister,84
Janos Slynt,Janos Slynt,5
Jaremy Rykker,Jaremy Rykker,1
Jeor Mormont,Jeor Mormont,31
Jhiqui,Jhiqui,1
Joffrey Lannister,Joffrey Lannister,50
Jon Snow,Jon Snow,136
Jonos Bracken,Jonos Bracken,3
Jonrobb,Jonrobb,1
Jorah Mormont,Jorah Mormont,86
Jory Cassel,Jory Cassel,31
Kevan Lannister,Kevan Lannister,8
Khal Drogo,Khal Drogo,13
King Joffrey,King Joffrey,8
Kings Guard,Kings Guard,2
Kings Landing Baker,Kings Landing Baker,3
Kings Landing Guard,Kings Landing Guard,2
Kings Landing Page,Kings Landing Page,2
Knight,Knight,5
Knight Of House Bracken,Knight Of House Bracken,1
Knight Of House Whent,Knight Of House Whent,2
Lancel Lannister,Lancel Lannister,6
Lannister Scout,Lannister Scout,2
Lannister Soldier,Lannister Soldier,2
Leo Lefford,Leo Lefford,2
Little Bird,Little Bird,1
Lommy Greenhands,Lommy Greenhands,5
Loras Tyrell,Loras Tyrell,23
Lord Varys,Lord Varys,15
Luwin,Luwin,5
Lysa Arryn,Lysa Arryn,28
Maester Aemon,Maester Aemon,17
Maester Luwin,Maester Luwin,39
Maid,Maid,1
Man,Man,3
Marillion,Marillion,13
Maryn Trant,Maryn Trant,1
Masha Heddle,Masha Heddle,3
Meryn Trant,Meryn Trant,4
Messenger,Messenger,1
Mhaegen,Mhaegen,4
Mirri Maz Duur,Mirri Maz Duur,18
Mord,Mord,9
Mordane,Mordane,9
Mycah,Mycah,4
Myrcella Baratheon,Myrcella Baratheon,1
Night Watch Stable Boy,Night Watch Stable Boy,1
Nights Watch Brother,Nights Watch Brother,1
Nights Watcher,Nights Watcher,2
Old Nan,Old Nan,5
Osha,Osha,25
Othell Yarwyck,Othell Yarwyck,5
Petyr Baelish,Petyr Baelish,112
Populace,Populace,3
Prostitute,Prostitute,2
Pyp,Pyp,14
Pypar,Pypar,2
Qotho,Qotho,11
Rakharo,Rakharo,17
Rast,Rast,3
Renly Baratheon,Renly Baratheon,43
Rhakaro,Rhakaro,1
Rickard Karstark,Rickard Karstark,1
Rickon Stark,Rickon Stark,5
Robb Stark,Robb Stark,78
Robert Baratheon,Robert Baratheon,118
Robin Arryn,Robin Arryn,10
Rodrick Cassel,Rodrick Cassel,7
Rodrik Cassal,Rodrik Cassal,1
Rodrik Cassel,Rodrik Cassel,5
Ros,Ros,38
Royce,Royce,5
Ryger Rivers,Ryger Rivers,1
Sam Pyp And Grenn,Sam Pyp And Grenn,2
Sam Tarly,Sam Tarly,52
Sandor Clegane,Sandor Clegane,13
Sansa Stark,Sansa Stark,99
Septa Mordane,Septa Mordane,26
Ser Alliser,Ser Alliser,1
Ser Vardis,Ser Vardis,2
Several Stark Bannermen,Several Stark Bannermen,1
Shae,Shae,33
Shagga,Shagga,2
Soldier,Soldier,6
Stable Boy,Stable Boy,3
Stark Bannermen,Stark Bannermen,1
Stark Guard,Stark Guard,3
Stevron Frey,Stevron Frey,1
Steward,Steward,3
Steward Of House Stark,Steward Of House Stark,1
Street Urchin,Street Urchin,2
Syrio Forel,Syrio Forel,30
Tell Me Something,Tell Me Something,1
Theon Greyjoy,Theon Greyjoy,70
Tobho Mott,Tobho Mott,5
Tomard,Tomard,1
Tribesmen Of Vale,Tribesmen Of Vale,1
Tyrion Lannister,Tyrion Lannister,212
Tywin Lannister,Tywin Lannister,35
Unidentified Nights Watchers,Unidentified Nights Watchers,1
Vardis Egen,Vardis Egen,5
Varys,Varys,65
Viserys,Viserys,18
Viserys Targaryen,Viserys Targaryen,52
Voices Outside,Voices Outside,1
Walder Frey,Walder Frey,13
Waymar Royce,Waymar Royce,2
Wildling,Wildling,7
Will,Will,7
Wine Merchant,Wine Merchant,11
Yoren,Yoren,23
